Rank,Name,Price,Market Cap,FDV,Link
1012,EMC EMC,$0.098,$5.17 M,$102.77 M,https://www.rootdata.com/Projects/detail/EMC?k=MTEwOTM%3D
1053,VoluMint VMINT,$0.0071,$4.34 M,$7.25 M,https://www.rootdata.com/Projects/detail/VoluMint?k=MTA4Mjk%3D
1091,LayerAI LAI,$0.011,$3.74 M,$36.06 M,https://www.rootdata.com/Projects/detail/LayerAI?k=NzU3Ng%3D%3D
1194,Raven Protocol RAVEN,$0.00054,$2.43 M,$6.36 M,https://www.rootdata.com/Projects/detail/Raven%20Protocol?k=Njc1Mg%3D%3D
1207,Octavia VIA,$0.068,$2.27 M,$6.84 M,https://www.rootdata.com/Projects/detail/Octavia?k=MTE0NDA%3D
1224,Effect Network EFX,$0.01,$2.1 M,$6.8 M,https://www.rootdata.com/Projects/detail/Effect%20Network?k=MTEwNTY%3D
1366,Fame AI FMC,$0.00042,$1.1 M,$5.09 M,https://www.rootdata.com/Projects/detail/Fame%20AI?k=MTA2OTU%3D
1409,Acria.AI ACRIA,$0.0076,$870.78 K,$1.1 M,https://www.rootdata.com/Projects/detail/Acria.AI?k=MTEzMzE%3D
1452,EpiK Protocol AIEPK,$0.0044,$683.09 K,$2.57 M,https://www.rootdata.com/Projects/detail/EpiK%20Protocol?k=NjYw
1497,YOUR Protocol YOURAI,$0.012,$554.73 K,$12.55 M,https://www.rootdata.com/Projects/detail/YOUR%20Protocol?k=MTE2Njc%3D
1623,Napoleon X NPX,$0.0093,$236.25 K,$277.94 K,https://www.rootdata.com/Projects/detail/Napoleon%20X?k=MzIx
1733,TonGPU TGPU,$0.000056,$96.36 K,$1.15 M,https://www.rootdata.com/Projects/detail/TonGPU?k=MTM0MzI%3D
--,SingularityNET AGIX,$0.482,--,$964.18 M,https://www.rootdata.com/Projects/detail/SingularityNET?k=MTQ2NQ%3D%3D
--,Morpheus MOR,$15.76,--,$662.09 M,https://www.rootdata.com/Projects/detail/Morpheus?k=MTEzMTU%3D
--,NFPrompt NFP,$0.2274,--,$233.69 M,https://www.rootdata.com/Projects/detail/NFPrompt?k=Nzk5Mw%3D%3D
--,BasedAI BASEDAI,$3,--,$107.43 M,https://www.rootdata.com/Projects/detail/BasedAI?k=MTE2NTM%3D
--,Masa MASA,$0.047,--,$73.44 M,https://www.rootdata.com/Projects/detail/Masa?k=MzA0MQ%3D%3D
--,PrivateAI PGPT,$0.5278,--,$52.78 M,https://www.rootdata.com/Projects/detail/PrivateAI?k=MTEzNDk%3D
--,Aperture Finance APTR,$0.05,--,$50.74 M,https://www.rootdata.com/Projects/detail/Aperture%20Finance?k=NDUzNw%3D%3D
--,HorusLayer HRX,$1.12,--,$43.94 M,https://www.rootdata.com/Projects/detail/HorusLayer?k=MTMxNDg%3D
--,GenomeFi GENO,$0.04,--,$40.36 M,https://www.rootdata.com/Projects/detail/GenomeFi?k=MTE5Njk%3D
--,AI Arena NRN,$0.036,--,$36.29 M,https://www.rootdata.com/Projects/detail/AI%20Arena?k=NTI4Nw%3D%3D
--,NeuroWeb.AI NEURO,$0.051,--,$33.56 M,https://www.rootdata.com/Projects/detail/NeuroWeb.AI?k=MTE4MTg%3D
--,NIM Network NIM,$0.027,--,$27.49 M,https://www.rootdata.com/Projects/detail/NIM%20Network?k=MTE2Mjc%3D
--,AstraAI ASTRA,$1.27,--,$12.67 M,https://www.rootdata.com/Projects/detail/AstraAI?k=MTE2ODM%3D
--,Laika AI LKI,$0.011,--,$11.68 M,https://www.rootdata.com/Projects/detail/Laika%20AI?k=ODk0Nw%3D%3D
--,Multiverse AI,$0.00028,--,$6.67 M,https://www.rootdata.com/Projects/detail/Multiverse?k=NzA0Mw%3D%3D
--,GURU Network GURU,$0.0062,--,$6.23 M,https://www.rootdata.com/Projects/detail/GURU%20Network?k=MTMwMTU%3D
--,Hypertensor TENSOR,$7.28,--,$5.95 M,https://www.rootdata.com/Projects/detail/Hypertensor?k=MTE4MjQ%3D
--,Balance AI BAI,$1.9,--,$5.89 M,https://www.rootdata.com/Projects/detail/Balance%20AI?k=MTE0NTk%3D
--,infraX INFRA,$4.89,--,$5.05 M,https://www.rootdata.com/Projects/detail/infraX?k=MTIyODE%3D
--,Orchai OCH,$0.2512,--,$5.02 M,https://www.rootdata.com/Projects/detail/Orchai?k=MTIxMTQ%3D
--,CodeXchain CDX,$0.004,--,$4.21 M,https://www.rootdata.com/Projects/detail/CodeXchain?k=MTEzMjQ%3D
--,Optopia OPAI,$0.0013,--,$4.04 M,https://www.rootdata.com/Projects/detail/Optopia?k=MTIwMDg%3D
--,VectorChat CHAT,$0.034,--,$3.42 M,https://www.rootdata.com/Projects/detail/VectorChat?k=MTI3NzY%3D
--,GPTVerse GPTV,$0.0029,--,$2.69 M,https://www.rootdata.com/Projects/detail/GPTVerse?k=MTI2OTg%3D
--,Nettensor NAO,$0.025,--,$2.34 M,https://www.rootdata.com/Projects/detail/Nettensor?k=MTE3MjI%3D
--,Mar3.AI MAR3,$0.00081,--,$2.05 M,https://www.rootdata.com/Projects/detail/Mar3.AI?k=OTEwMg%3D%3D
--,UpRock UPT,$0.017,--,$1.64 M,https://www.rootdata.com/Projects/detail/UpRock?k=MTE2OTY%3D
--,Matrix MAN,$0.0007,--,$1.05 M,https://www.rootdata.com/Projects/detail/Matrix?k=MjAx
--,Lanify.ai LAN,$0.0078,--,$784.37 K,https://www.rootdata.com/Projects/detail/Lanify.ai?k=MTE5MDA%3D
--,MegaPixAI MPIX,$0.00045,--,$595.15 K,https://www.rootdata.com/Projects/detail/MegaPixAI?k=MTIxOTk%3D
--,Komputai KAI,$0.072,--,$466.67 K,https://www.rootdata.com/Projects/detail/Komputai?k=MTIyODk%3D
--,DecentraMind DMIND,$0.011,--,$126.7 K,https://www.rootdata.com/Projects/detail/DecentraMind?k=MTA1ODU%3D
--,NodeSynapse NS,$0.000072,--,$83.64 K,https://www.rootdata.com/Projects/detail/NodeSynapse?k=MTE2NzE%3D
--,Sensor Protocol SENSOR,$0.000056,--,$56.99 K,https://www.rootdata.com/Projects/detail/Sensor%20Protocol?k=MTIxMjk%3D
--,YURI AI YURI,$0.000000000062,--,$41.81 K,https://www.rootdata.com/Projects/detail/YURI%20AI?k=NzcwNw%3D%3D
--,Tao Accounting System TAS,$0.0058,--,--,https://www.rootdata.com/Projects/detail/Tao%20Accounting%20System?k=MTE2MjE%3D
