Rank,Name,Price,Market Cap,FDV,Link
1872,DeathRoad DRACE,$0.00001,$569.79,$11.48 K,https://www.rootdata.com/Projects/detail/DeathRoad?k=MTExOA%3D%3D
1875,Project SEED SHILL,$0.0024,$1,$3.15 M,https://www.rootdata.com/Projects/detail/Project%20SEED?k=OTU3MA%3D%3D
--,DegenReborn DEGEN,$0.00006,--,$6.02 B,https://www.rootdata.com/Projects/detail/DegenReborn?k=NzAyOA%3D%3D
--,BinaryX BNX,$1.35,--,$332.7 M,https://www.rootdata.com/Projects/detail/BinaryX?k=MTEyMg%3D%3D
--,Mythical Games MYTH,$0.2498,--,$249.86 M,https://www.rootdata.com/Projects/detail/Mythical%20Games?k=MjM0Ng%3D%3D
--,Highstreet HIGH,$1.3,--,$129.24 M,https://www.rootdata.com/Projects/detail/Highstreet?k=NDE0
--,GG MetaGame GGMT,$0.01,--,$107.47 M,https://www.rootdata.com/Projects/detail/GG%20MetaGame?k=MTIzNjA%3D
--,Zeeverse VEE,$0.00075,--,$101.98 M,https://www.rootdata.com/Projects/detail/Zeeverse?k=NzQxNQ%3D%3D
--,Pixelverse PIXFI,$0.02,--,$95.31 M,https://www.rootdata.com/Projects/detail/Pixelverse?k=MTIwMTM%3D
--,GAM3S.GG G3,$0.066,--,$68.02 M,https://www.rootdata.com/Projects/detail/GAM3S.GG?k=OTIyNA%3D%3D
--,Aquacity AQUACITY,$0.019,--,$53.76 M,https://www.rootdata.com/Projects/detail/Aquacity?k=MTA5MTY%3D
--,My Lovely Planet MLC,$0.151,--,$52.87 M,https://www.rootdata.com/Projects/detail/My%20Lovely%20Planet?k=MTEzODY%3D
--,AI Arena NRN,$0.036,--,$36.29 M,https://www.rootdata.com/Projects/detail/AI%20Arena?k=NTI4Nw%3D%3D
--,DeFi Kingdoms JEWEL,$0.1139,--,$34.68 M,https://www.rootdata.com/Projects/detail/DeFi%20Kingdoms?k=MTUwOQ%3D%3D
--,TRALA TRALA,$0.031,--,$32.15 M,https://www.rootdata.com/Projects/detail/TRALA?k=MTI5ODY%3D
--,Param Labs PARAM,$0.012,--,$25.74 M,https://www.rootdata.com/Projects/detail/Param%20Labs?k=MzMyMw%3D%3D
--,Engines of Fury FURY,$0.2001,--,$24.01 M,https://www.rootdata.com/Projects/detail/Engines%20of%20Fury?k=NzQ4Nw%3D%3D
--,SENSO SENSO,$0.032,--,$22.68 M,https://www.rootdata.com/Projects/detail/SENSO?k=NTQxNg%3D%3D
--,AVACOIN AVACN,$0.00063,--,$22.11 M,https://www.rootdata.com/Projects/detail/AVACOIN?k=MTM3Njk%3D
--,Ethlas ELS,$0.06,--,$21.47 M,https://www.rootdata.com/Projects/detail/Ethlas?k=NDYxNA%3D%3D
--,ZED RUN ZED,$0.016,--,$16.7 M,https://www.rootdata.com/Projects/detail/ZED%20RUN?k=MTY5NA%3D%3D
--,Monopoly Millionaire Game MMC,$0.013,--,$13.97 M,https://www.rootdata.com/Projects/detail/Monopoly%20Millionaire%20Game?k=NDcwMQ%3D%3D
--,BovineVerse BVT,$0.013,--,$13.37 M,https://www.rootdata.com/Projects/detail/BovineVerse?k=NDY5Ng%3D%3D
--,Medieval Empires MEE,$0.0075,--,$12.2 M,https://www.rootdata.com/Projects/detail/Medieval%20Empires?k=NDY5MA%3D%3D
--,Bitcoin Cats 1CAT,$0.0023,--,$12.15 M,https://www.rootdata.com/Projects/detail/Bitcoin%20Cats?k=MTA3MTg%3D
--,Cradles CRDS,$0.041,--,$12.03 M,https://www.rootdata.com/Projects/detail/Cradles?k=NDYzOQ%3D%3D
--,Thetan Arena THG,$0.026,--,$11.76 M,https://www.rootdata.com/Projects/detail/Thetan%20Arena?k=MTQ4MA%3D%3D
--,EthXY SEXY,$0.1662,--,$10.84 M,https://www.rootdata.com/Projects/detail/EthXY?k=MTAxMzY%3D
--,Capverse CAP,$0.05,--,$10.09 M,https://www.rootdata.com/Projects/detail/Capverse?k=NzgzMw%3D%3D
--,Icon.X World ICNX,$0.091,--,$9.93 M,https://www.rootdata.com/Projects/detail/Icon.X%20World?k=MTE2Mjg%3D
--,Outlanders LAND,$0.0049,--,$9.87 M,https://www.rootdata.com/Projects/detail/Outlanders?k=MTM4Mjg%3D
--,Domi Online DOMI,$0.0095,--,$9.58 M,https://www.rootdata.com/Projects/detail/Domi%20Online?k=NjA4OA%3D%3D
--,Klaydice DICE,$0.0084,--,$9.23 M,https://www.rootdata.com/Projects/detail/Klaydice?k=ODQ3Mw%3D%3D
--,Storm Warfare JAN,$0.0076,--,$7.98 M,https://www.rootdata.com/Projects/detail/Storm%20Warfare?k=MTEyODY%3D
--,AOFverse AFG,$0.0068,--,$7.77 M,https://www.rootdata.com/Projects/detail/AOFverse?k=MTEwMTc%3D
--,Miner Arena MINAR,$0.032,--,$6.46 M,https://www.rootdata.com/Projects/detail/Miner%20Arena?k=MTE1ODQ%3D
--,Dubbz DUBBZ,$0.6393,--,$6.39 M,https://www.rootdata.com/Projects/detail/Dubbz?k=OTQ1Nw%3D%3D
--,NexGami NEXG,$0.0041,--,$6.23 M,https://www.rootdata.com/Projects/detail/NexGami?k=OTc4MQ%3D%3D
--,BitBrawl BRAWL,$0.00061,--,$6.17 M,https://www.rootdata.com/Projects/detail/BitBrawl?k=ODIyMg%3D%3D
--,StarSharks SSS,$0.053,--,$6.12 M,https://www.rootdata.com/Projects/detail/StarSharks?k=MTQ4NQ%3D%3D
--,Brave Frontier Heroes BPC,$0.0057,--,$5.75 M,https://www.rootdata.com/Projects/detail/Brave%20Frontier%20Heroes?k=MTUxMw%3D%3D
--,Virtue Poker VPP,$0.0063,--,$5.05 M,https://www.rootdata.com/Projects/detail/Virtue%20Poker?k=OTU%3D
--,REALY REAL,$0.038,--,$3.88 M,https://www.rootdata.com/Projects/detail/REALY?k=MTU3OA%3D%3D
--,UFORIKA FORA,$0.00052,--,$3.66 M,https://www.rootdata.com/Projects/detail/UFORIKA?k=MTA5NjE%3D
--,Mechachain MECHA,$0.029,--,$3.41 M,https://www.rootdata.com/Projects/detail/Mechachain?k=NTQwMQ%3D%3D
--,Tiny World TINC,$0.0032,--,$3.2 M,https://www.rootdata.com/Projects/detail/Tiny%20World?k=MjcwMg%3D%3D
--,Gameta HIP,$0.0024,--,$2.74 M,https://www.rootdata.com/Projects/detail/Gameta?k=MTYzNQ%3D%3D
--,SOUNI SON,$0.00025,--,$2.69 M,https://www.rootdata.com/Projects/detail/SOUNI?k=NTEzNg%3D%3D
--,BAC Games BACGAMES,$0.005,--,$2.67 M,https://www.rootdata.com/Projects/detail/BAC%20Games?k=MTE1NDk%3D
--,Super Sushi Samurai SSS,$0.0000000037,--,$2.48 M,https://www.rootdata.com/Projects/detail/Super%20Sushi%20Samurai?k=MTE5MDM%3D
--,Meta Merge MMM,$0.00028,--,$2.48 M,https://www.rootdata.com/Projects/detail/Meta%20Merge?k=ODYxNQ%3D%3D
--,Rebase IRL,$1.59,--,$2.43 M,https://www.rootdata.com/Projects/detail/Rebase?k=NTMyNw%3D%3D
--,Sunflower Land SFL,$0.053,--,$2.4 M,https://www.rootdata.com/Projects/detail/Sunflower%20Land?k=MTQ5NA%3D%3D
--,SpaceY 2025 SPAY,$0.075,--,$2.2 M,https://www.rootdata.com/Projects/detail/SpaceY%202025?k=NjE2Nw%3D%3D
--,KGeN INDI,$0.0023,--,$2.18 M,https://www.rootdata.com/Projects/detail/KGeN?k=MTIxMw%3D%3D
--,Bajun Network BAJU,$0.038,--,$1.91 M,https://www.rootdata.com/Projects/detail/Bajun%20Network?k=MTEzMzA%3D
--,AGG AGG,$0.00016,--,$1.6 M,https://www.rootdata.com/Projects/detail/AGG?k=MTI0Mjk%3D
--,Synergy Land SNG,$0.015,--,$1.6 M,https://www.rootdata.com/Projects/detail/Synergy%20Land?k=ODIyMw%3D%3D
--,MetaPioneers MPI,$0.00016,--,$1.6 M,https://www.rootdata.com/Projects/detail/MetaPioneers?k=NjM3Nw%3D%3D
--,Stella Fantasy / Ring Games SFTY,$0.0015,--,$1.52 M,https://www.rootdata.com/Projects/detail/Stella%20Fantasy%20-%20Ring%20Games?k=MTY1OA%3D%3D
--,R Games RGAME,$0.0014,--,$1.49 M,https://www.rootdata.com/Projects/detail/R%20Games?k=MTMxMDM%3D
--,xPET xPET,$0.076,--,$1.46 M,https://www.rootdata.com/Projects/detail/xPET?k=MTA3MTU%3D
--,Mytheria MYRA,$0.0066,--,$1.45 M,https://www.rootdata.com/Projects/detail/Mytheria?k=MTQ4NA%3D%3D
--,MetaDerby DBY,$0.0012,--,$1.41 M,https://www.rootdata.com/Projects/detail/MetaDerby?k=MTY5Mg%3D%3D
--,AgeOfGods AOG,$0.0037,--,$1.34 M,https://www.rootdata.com/Projects/detail/AgeOfGods?k=OTQwNg%3D%3D
--,Aspo World ASPO,$0.0017,--,$1.01 M,https://www.rootdata.com/Projects/detail/Aspo%20World?k=MTQ5NQ%3D%3D
--,Battle of Guardians BGS,$0.00096,--,$999.46 K,https://www.rootdata.com/Projects/detail/Battle%20of%20Guardians?k=NTI3Mg%3D%3D
--,Codyfight CTOK,$0.0074,--,$944.41 K,https://www.rootdata.com/Projects/detail/Codyfight?k=NjIwOQ%3D%3D
--,Arker ARKER,$0.00033,--,$927.65 K,https://www.rootdata.com/Projects/detail/Arker?k=MTQ4OQ%3D%3D
--,Kingdom Karnage KKT,$0.00077,--,$853.09 K,https://www.rootdata.com/Projects/detail/Kingdom%20Karnage?k=NDY2NA%3D%3D
--,Abyss World AWT,$0.000064,--,$796.81 K,https://www.rootdata.com/Projects/detail/Abyss%20World?k=MTcxNQ%3D%3D
--,Trex20 TX20,$0.0096,--,$788.36 K,https://www.rootdata.com/Projects/detail/Trex20?k=MTE5ODE%3D
--,HunnyPlay HUNNY,$0.0076,--,$761.44 K,https://www.rootdata.com/Projects/detail/HunnyPlay?k=MTUwMw%3D%3D
--,10n8 Little Dragon 1ON8,$0.069,--,$678.12 K,https://www.rootdata.com/Projects/detail/10n8%20Little%20Dragon?k=MTEwOTQ%3D
--,The Parallel PRL,$0.00067,--,$671.03 K,https://www.rootdata.com/Projects/detail/The%20Parallel?k=NTEyNw%3D%3D
--,Kingdomverse KING,$0.00056,--,$646.03 K,https://www.rootdata.com/Projects/detail/Kingdomverse?k=Njc2MA%3D%3D
--,Karmaverse KNOT,$0.0024,--,$644.98 K,https://www.rootdata.com/Projects/detail/Karmaverse?k=MTU3MQ%3D%3D
--,Mecha Morphing MAPE,$0.0045,--,$619.47 K,https://www.rootdata.com/Projects/detail/Mecha%20Morphing?k=NzQ4OQ%3D%3D
--,Revoland REVO,$0.0049,--,$593.04 K,https://www.rootdata.com/Projects/detail/Revoland?k=MTIxNg%3D%3D
--,HonorWorld HWT,$0.0012,--,$564.04 K,https://www.rootdata.com/Projects/detail/HonorWorld?k=NjM1OA%3D%3D
--,Duel Network DUEL,$0.022,--,$540.22 K,https://www.rootdata.com/Projects/detail/Duel%20Network?k=MTQ4OA%3D%3D
--,Animalia ANIM,$0.0041,--,$529.29 K,https://www.rootdata.com/Projects/detail/Animalia?k=NzkzNg%3D%3D
--,MOBLAND SYNR,$0.000049,--,$520.25 K,https://www.rootdata.com/Projects/detail/MOBLAND?k=MTUyMw%3D%3D
--,Nekoverse ASG,$0.0035,--,$482.15 K,https://www.rootdata.com/Projects/detail/Nekoverse?k=MTA0OTI%3D
--,XTREMEVERSE XTREME,$159.03,--,$481.01 K,https://www.rootdata.com/Projects/detail/XTREMEVERSE?k=MTI5Mjg%3D
--,RaceFi RACEFI,$0.0023,--,$463.18 K,https://www.rootdata.com/Projects/detail/RaceFi?k=NTE1NQ%3D%3D
--,Geopoly GEO$,$0.00035,--,$354.46 K,https://www.rootdata.com/Projects/detail/Geopoly?k=Njg2Nw%3D%3D
--,Pomerium PMR,$0.000034,--,$347.2 K,https://www.rootdata.com/Projects/detail/Pomerium?k=MjczNA%3D%3D
--,MetaverseX METAX,$0.014,--,$303.06 K,https://www.rootdata.com/Projects/detail/MetaverseX?k=MTQ4Mw%3D%3D
--,Bunicorn BUNI,$0.0023,--,$271.71 K,https://www.rootdata.com/Projects/detail/Bunicorn?k=ODAxMA%3D%3D
--,Frutti Dino FDT,$0.00025,--,$259.2 K,https://www.rootdata.com/Projects/detail/Frutti%20Dino?k=MTEyOA%3D%3D
--,Infinity Games ING,$0.000043,--,$259.18 K,https://www.rootdata.com/Projects/detail/Infinity%20Games?k=OTkzNg%3D%3D
--,AQUANEE AQDC,$0.0002,--,$226.74 K,https://www.rootdata.com/Projects/detail/AQUANEE?k=NDY3OA%3D%3D
--,Space Misfits SMCW,$0.0011,--,$212.41 K,https://www.rootdata.com/Projects/detail/Space%20Misfits?k=OTU1MA%3D%3D
--,DeHorizon DEVT,$0.00078,--,$212.29 K,https://www.rootdata.com/Projects/detail/DeHorizon?k=NDYxNQ%3D%3D
--,Crypto Fight Club FIGHT,$0.0002,--,$203.14 K,https://www.rootdata.com/Projects/detail/Crypto%20Fight%20Club?k=NTI0Nw%3D%3D
--,Wolf Game WOOL,$0.0024,--,$196.3 K,https://www.rootdata.com/Projects/detail/Wolf%20Game?k=ODg5OQ%3D%3D
--,Kyberdyne KBD,$0.00037,--,$194.81 K,https://www.rootdata.com/Projects/detail/Kyberdyne?k=ODMyOQ%3D%3D
--,Step Hero HERO,$0.0012,--,$184.43 K,https://www.rootdata.com/Projects/detail/Step%20Hero?k=ODQ3OQ%3D%3D
--,VOID VOID,$0.0006,--,$172.87 K,https://www.rootdata.com/Projects/detail/VOID?k=MTcxNw%3D%3D
--,Hero Arena HERA,$0.0013,--,$163.8 K,https://www.rootdata.com/Projects/detail/Hero%20Arena?k=MTQ5MQ%3D%3D
--,PlaceWar PLACE,$0.00013,--,$140.17 K,https://www.rootdata.com/Projects/detail/PlaceWar?k=NTI4NQ%3D%3D
--,Defina FINA,$0.0018,--,$112.48 K,https://www.rootdata.com/Projects/detail/Defina?k=NjA0Mw%3D%3D
--,MetaKings MTK,$0.0001,--,$105.91 K,https://www.rootdata.com/Projects/detail/MetaKings?k=NDY4Nw%3D%3D
--,Hydraverse HDV,$0.00014,--,$84.72 K,https://www.rootdata.com/Projects/detail/Hydraverse?k=Nzg0Mw%3D%3D
--,Knight War KWS,$0.00015,--,$83.91 K,https://www.rootdata.com/Projects/detail/Knight%20War?k=ODUwNA%3D%3D
--,Ark Rivals ARKN,$0.00007,--,$70.3 K,https://www.rootdata.com/Projects/detail/Ark%20Rivals?k=NjAxNw%3D%3D
--,Tap Fantasy TAP,$0.00092,--,$50.51 K,https://www.rootdata.com/Projects/detail/Tap%20Fantasy?k=MTY1OQ%3D%3D
--,Rake RAKE,$5.77,--,$46.05 K,https://www.rootdata.com/Projects/detail/Rake?k=MTA3ODk%3D
--,YURI AI YURI,$0.000000000062,--,$41.81 K,https://www.rootdata.com/Projects/detail/YURI%20AI?k=NzcwNw%3D%3D
--,HappyLand HPL,$0.000098,--,$39.25 K,https://www.rootdata.com/Projects/detail/HappyLand?k=MTc5MQ%3D%3D
--,DeHero HEROES,$0.0018,--,$24.1 K,https://www.rootdata.com/Projects/detail/DeHero?k=MTc2Ng%3D%3D
--,Paradox Metaverse PARADOX,$0.00027,--,$11.37 K,https://www.rootdata.com/Projects/detail/Paradox%20Metaverse?k=MTIxOA%3D%3D
--,World of Defish WOD,$0.00001,--,$10.34 K,https://www.rootdata.com/Projects/detail/World%20of%20Defish?k=MTQ5OQ%3D%3D
--,SOULS OF META SOM,$0.0000011,--,$3.38 K,https://www.rootdata.com/Projects/detail/SOULS%20OF%20META?k=MTUwMQ%3D%3D
--,Hibiki Run HUT,$0.00000017,--,$357.64,https://www.rootdata.com/Projects/detail/Hibiki%20Run?k=ODczMQ%3D%3D
--,Mechaverse MC,$0.00097,--,--,https://www.rootdata.com/Projects/detail/Mechaverse?k=NjgyNw%3D%3D
--,Ordz Games ORDG,$0.2397,--,--,https://www.rootdata.com/Projects/detail/Ordz%20Games?k=OTQ4Ng%3D%3D
--,Exverse EXVG,$0.02,--,--,https://www.rootdata.com/Projects/detail/Exverse?k=MTEzMDk%3D
--,LayerX TITAN,$0.3519,--,--,https://www.rootdata.com/Projects/detail/LayerX?k=MTMxMDQ%3D
--,Bounty Temple TYT,$0.057,--,--,https://www.rootdata.com/Projects/detail/Bounty%20Temple?k=MTE3MjA%3D
--,Zone of Avoidance ZOA,$0.000036,--,--,https://www.rootdata.com/Projects/detail/Zone%20of%20Avoidance?k=MTc3Mw%3D%3D
--,YOLO GAMES YOLO,$0.0027,--,--,https://www.rootdata.com/Projects/detail/YOLO%20GAMES?k=MTE1MTk%3D
