Rank,Name,Price,Market Cap,FDV,Link
686,Nine Chronicles WNCG,$0.052,$19 M,$52.53 M,https://www.rootdata.com/Projects/detail/Nine%20Chronicles?k=MTcyMA%3D%3D
687,Aurory AURY,$0.3078,$19.03 M,$30.77 M,https://www.rootdata.com/Projects/detail/Aurory?k=MTEyNQ%3D%3D
689,Planet Mojo MOJO,$0.025,$18.93 M,$25.46 M,https://www.rootdata.com/Projects/detail/Planet%20Mojo?k=NjQ5NA%3D%3D
690,HYTOPIA TOPIA,$0.019,$18.94 M,$100.4 M,https://www.rootdata.com/Projects/detail/HYTOPIA?k=OTAzNg%3D%3D
695,Decentral Games DG,$0.02,$18.68 M,$18.67 M,https://www.rootdata.com/Projects/detail/Decentral%20Games?k=MTQ3OQ%3D%3D
708,Games for a Living GFAL,$0.011,$17.81 M,$120.42 M,https://www.rootdata.com/Projects/detail/Games%20for%20a%20Living?k=OTQxMg%3D%3D
714,League of Kingdoms LOKA,$0.1508,$17.33 M,$31.76 M,https://www.rootdata.com/Projects/detail/League%20of%20Kingdoms?k=Njcw
745,Shuffle SHFL,$0.2026,$14.84 M,$202.6 M,https://www.rootdata.com/Projects/detail/Shuffle?k=NjcwMQ%3D%3D
777,UFO Gaming UFO,$0.00000052,$13.46 M,$13.52 M,https://www.rootdata.com/Projects/detail/UFO%20Gaming?k=MTExMA%3D%3D
778,Katana Inu KATA,$0.00048,$13.37 M,$25.19 M,https://www.rootdata.com/Projects/detail/Katana%20Inu?k=MTQ5Ng%3D%3D
790,Sipher SIPHER,$0.1291,$12.39 M,$16.38 M,https://www.rootdata.com/Projects/detail/Sipher?k=NTI4Mg%3D%3D
810,QORPO World QORPO,$0.1619,$11.66 M,$125.37 M,https://www.rootdata.com/Projects/detail/QORPO%20World?k=ODg2Nw%3D%3D
821,BADMAD ROBOTS METAL,$0.015,$11.24 M,$49.28 M,https://www.rootdata.com/Projects/detail/BADMAD%20ROBOTS?k=NjAxNA%3D%3D
824,Farcana FAR,$0.013,$11.08 M,$70.75 M,https://www.rootdata.com/Projects/detail/Farcana?k=MTc1OA%3D%3D
848,Nyan Heroes NYAN,$0.098,$9.92 M,$98.17 M,https://www.rootdata.com/Projects/detail/Nyan%20Heroes?k=MTY4NQ%3D%3D
850,Elixir Games ELIX,$0.047,$10.05 M,$70.78 M,https://www.rootdata.com/Projects/detail/Elixir%20Games?k=NTk2OA%3D%3D
882,Cross The Ages CTA,$0.1192,$8.78 M,$61.51 M,https://www.rootdata.com/Projects/detail/Cross%20The%20Ages?k=MTcwNQ%3D%3D
908,Blocklords LRDS,$1.01,$7.8 M,$102.58 M,https://www.rootdata.com/Projects/detail/Blocklords?k=NjA4NA%3D%3D
