Rank,Name,Price,Market Cap,FDV,Link
--,Attila ATT,$0.0015,--,$5.51 M,https://www.rootdata.com/Projects/detail/Attila?k=MTQ2Ng%3D%3D
--,T2T2 T2T2,$0.00044,--,$4.6 M,https://www.rootdata.com/Projects/detail/T2T2?k=OTUyOA%3D%3D
--,Suia SUIA,$0.037,--,$3.75 M,https://www.rootdata.com/Projects/detail/Suia?k=NjMwNA%3D%3D
--,Relation REL,$0.0027,--,$2.75 M,https://www.rootdata.com/Projects/detail/Relation?k=MjA3OA%3D%3D
--,Bananatok BNA,$0.0013,--,$2.53 M,https://www.rootdata.com/Projects/detail/Bananatok?k=MzM3Ng%3D%3D
--,Socrates SOC,$0.3284,--,$1.96 M,https://www.rootdata.com/Projects/detail/Socrates?k=OTMzOA%3D%3D
--,Winee3 WNE,$0.00016,--,$1.26 M,https://www.rootdata.com/Projects/detail/Winee3?k=MTMzNDc%3D
--,FaceDAO FACEDAO,$0.000000001,--,$800.42 K,https://www.rootdata.com/Projects/detail/FaceDAO?k=NTcwOQ%3D%3D
--,Atem Network ATEM,$0.0035,--,$707.24 K,https://www.rootdata.com/Projects/detail/Atem%20Network?k=MTg2NA%3D%3D
--,Tipcoin TIP,$0.000056,--,$650.39 K,https://www.rootdata.com/Projects/detail/Tipcoin?k=OTEyOA%3D%3D
--,PECland PECL,$0.00001,--,$509.69 K,https://www.rootdata.com/Projects/detail/PECland?k=MTEwNjQ%3D
--,SappChat APP,$0.00019,--,$199.97 K,https://www.rootdata.com/Projects/detail/SappChat?k=MTA1NDc%3D
--,NftyPlay POLO,$0.00004,--,$73.09 K,https://www.rootdata.com/Projects/detail/NftyPlay?k=NzI2NA%3D%3D
--,SNKRZ FRC,$0.0082,--,$5.58 K,https://www.rootdata.com/Projects/detail/SNKRZ?k=ODQ3Mg%3D%3D
--,TURNUP LFG,$0.000017,--,$1.29 K,https://www.rootdata.com/Projects/detail/TURNUP?k=MTA4Njg%3D
--,Myriad Social MYRIA,$0.00015,--,--,https://www.rootdata.com/Projects/detail/Myriad%20Social?k=NTE3OQ%3D%3D
--,WELL3 WELL,$0.001,--,--,https://www.rootdata.com/Projects/detail/WELL3?k=MTE4ODA%3D
